ZCTA,ADI_NATRANK,ADI_STATERNK,ADI_QUINTILE
90000,1,1,2
90001,52,52,5
90002,62,62,4
90003,47,47,3
90004,77,77,1
90005,15,15,1
90006,32,32,1
90007,41,41,5
90008,67,67,4
90009,55,55,4
90010,100,100,1
90011,29,29,5
90012,15,15,5
90013,94,94,2
90014,14,14,1
90015,67,67,1
90016,25,25,2
90017,1,1,3
90018,40,40,3
90019,72,72,2
90020,19,19,4
90021,64,64,1
90022,69,69,2
90023,18,18,2
90024,44,44,3
90025,89,89,4
90026,66,66,1
90027,43,43,3
90028,60,60,3
90029,32,32,1
90030,77,77,4
90031,77,77,1
90032,53,53,1
90033,55,55,5
90034,25,25,5
90035,16,16,5
90036,40,40,2
90037,47,47,1
90038,76,76,4
90039,73,73,3
90040,54,54,1
90041,79,79,3
90042,26,26,1
90043,76,76,5
90044,30,30,2
90045,80,80,4
90046,49,49,2
90047,1,1,3
90048,68,68,3
90049,70,70,1
90050,38,38,5
90051,40,40,4
90052,46,46,5
90053,1,1,5
90054,1,1,3
90055,82,82,5
90056,29,29,1
90057,96,96,1
90058,84,84,1
90059,89,89,2
90060,33,33,2
90061,9,9,2
90062,22,22,5
90063,38,38,2
90064,1,1,2
90065,38,38,3
90066,44,44,1
90067,17,17,5
90068,23,23,1
90069,44,44,5
90070,58,58,4
90071,27,27,1
90072,57,57,1
90073,53,53,5
90074,51,51,4
90075,33,33,4
90076,16,16,4
90077,92,92,1
90078,65,65,2
90079,75,75,1
90080,47,47,5
90081,45,45,4
90082,62,62,2
90083,4,4,1
90084,22,22,2
90085,30,30,2
90086,38,38,4
90087,28,28,4
90088,58,58,5
90089,52,52,3
90090,84,84,1
90091,100,100,4
90092,18,18,4
90093,53,53,3
90094,53,53,4
90095,49,49,3
90096,22,22,3
90097,27,27,3
90098,56,56,1
90099,26,26,1
90100,53,53,1
90101,43,43,4
90102,53,53,2
90103,26,26,3
90104,53,53,5
90105,27,27,2
90106,54,54,3
90107,83,83,4
90108,56,56,2
90109,58,58,1
90110,70,70,2
90111,14,14,1
90112,92,92,5
90113,23,23,5
90114,71,71,4
90115,68,68,5
90116,27,27,5
90117,75,75,1
90118,62,62,5
90119,97,97,3
90120,54,54,5
90121,47,47,5
90122,37,37,2
90123,6,6,1
90124,42,42,2
90125,43,43,3
90126,56,56,5
90127,14,14,5
90128,44,44,1
90129,64,64,3
90130,66,66,3
90131,3,3,2
90132,67,67,1
90133,43,43,2
90134,45,45,5
90135,1,1,2
90136,87,87,3
90137,54,54,4
90138,11,11,2
90139,59,59,5
90140,58,58,5
90141,80,80,2
90142,42,42,3
90143,50,50,2
90144,33,33,2
90145,64,64,1
90146,30,30,4
90147,27,27,3
90148,48,48,1
90149,19,19,2
90150,90,90,5
90151,98,98,2
90152,38,38,1
90153,15,15,3
90154,58,58,5
90155,37,37,2
90156,79,79,4
90157,30,30,4
90158,63,63,2
90159,52,52,4
90160,33,33,2
90161,56,56,4
90162,71,71,4
90163,52,52,3
90164,52,52,1
90165,28,28,5
90166,78,78,2
90167,76,76,1
90168,39,39,1
90169,46,46,3
90170,85,85,4
90171,21,21,1
90172,65,65,3
90173,36,36,2
90174,94,94,4
90175,51,51,1
90176,81,81,4
90177,30,30,2
90178,18,18,5
90179,44,44,1
90180,56,56,2
90181,37,37,1
90182,68,68,5
90183,44,44,5
90184,1,1,2
90185,63,63,4
90186,27,27,5
90187,40,40,3
90188,88,88,3
90189,94,94,2
90190,35,35,1
90191,64,64,5
90192,36,36,5
90193,42,42,4
90194,34,34,2
90195,6,6,2
90196,52,52,4
90197,57,57,5
90198,33,33,5
90199,77,77,4
90200,39,39,4
90201,34,34,1
90202,63,63,1
90203,11,11,5
90204,72,72,4
90205,39,39,1
90206,74,74,1
90207,82,82,4
90208,66,66,1
90209,29,29,1
90210,18,18,3
90211,14,14,4
90212,77,77,4
90213,46,46,2
90214,35,35,4
90215,46,46,2
90216,77,77,2
90217,69,69,4
90218,60,60,4
90219,65,65,5
90220,54,54,4
90221,57,57,3
90222,55,55,1
90223,49,49,2
90224,68,68,2
90225,59,59,2
90226,27,27,5
90227,63,63,2
90228,56,56,5
90229,65,65,4
90230,47,47,4
90231,70,70,3
90232,48,48,3
90233,68,68,3
90234,38,38,1
90235,40,40,4
90236,65,65,2
90237,41,41,1
90238,100,100,4
90239,64,64,1
90240,50,50,5
90241,70,70,5
90242,37,37,5
90243,73,73,2
90244,72,72,1
90245,81,81,5
90246,38,38,3
90247,19,19,5
90248,34,34,5
90249,42,42,5
90250,91,91,2
90251,100,100,2
90252,58,58,5
90253,50,50,2
90254,41,41,1
90255,70,70,3
90256,100,100,5
90257,94,94,4
90258,78,78,3
90259,78,78,1
90260,70,70,4
90261,48,48,5
90262,31,31,1
90263,49,49,3
90264,60,60,5
90265,13,13,4
90266,46,46,4
90267,29,29,4
90268,75,75,2
90269,36,36,2
90270,58,58,5
90271,32,32,5
90272,89,89,5
90273,7,7,5
90274,61,61,3
90275,18,18,3
90276,37,37,4
90277,55,55,4
90278,56,56,4
90279,55,55,4
90280,53,53,5
90281,33,33,2
90282,45,45,2
90283,50,50,1
90284,54,54,3
90285,48,48,1
90286,68,68,3
90287,52,52,3
90288,55,55,2
90289,40,40,3
90290,23,23,1
90291,53,53,1
90292,80,80,5
90293,61,61,2
90294,29,29,1
90295,70,70,3
90296,41,41,4
90297,67,67,2
90298,40,40,4
90299,58,58,1
90300,37,37,1
90301,37,37,3
90302,10,10,3
90303,62,62,4
90304,59,59,4
90305,60,60,5
90306,56,56,3
90307,30,30,2
90308,74,74,4
90309,74,74,2
90310,30,30,3
90311,63,63,1
90312,71,71,1
90313,38,38,5
90314,42,42,5
90315,63,63,4
90316,12,12,3
90317,22,22,1
90318,25,25,1
90319,5,5,2
90320,77,77,3
90321,1,1,4
90322,58,58,4
90323,70,70,2
90324,42,42,5
90325,33,33,4
90326,55,55,3
90327,50,50,4
90328,75,75,3
90329,1,1,2
90330,27,27,2
90331,64,64,4
90332,51,51,1
90333,68,68,1
90334,56,56,1
90335,46,46,1
90336,42,42,5
90337,100,100,4
90338,88,88,3
90339,62,62,1
90340,51,51,3
90341,63,63,3
90342,70,70,1
90343,60,60,3
90344,31,31,2
90345,94,94,4
90346,56,56,4
90347,100,100,1
90348,54,54,2
90349,43,43,4
90350,84,84,3
90351,57,57,5
90352,53,53,4
90353,19,19,1
90354,66,66,1
90355,37,37,4
90356,38,38,1
90357,37,37,3
90358,60,60,5
90359,11,11,3
90360,44,44,2
90361,74,74,4
90362,18,18,3
90363,54,54,3
90364,34,34,5
90365,39,39,2
90366,91,91,5
90367,8,8,5
90368,69,69,1
90369,38,38,1
90370,36,36,1
90371,22,22,1
90372,68,68,1
90373,45,45,4
90374,42,42,1
90375,52,52,2
90376,45,45,5
90377,1,1,1
90378,37,37,5
90379,72,72,2
90380,12,12,1
90381,22,22,4
90382,39,39,4
90383,31,31,5
90384,49,49,4
90385,22,22,5
90386,40,40,2
90387,48,48,1
90388,66,66,4
90389,81,81,5
90390,43,43,5
90391,97,97,3
90392,45,45,2
90393,70,70,4
90394,98,98,2
90395,53,53,5
90396,15,15,5
90397,52,52,3
90398,34,34,4
90399,43,43,4
90400,99,99,1
90401,19,19,5
90402,57,57,3
90403,28,28,5
90404,42,42,2
90405,68,68,5
90406,57,57,2
90407,44,44,1
90408,33,33,5
90409,57,57,1
90410,92,92,2
90411,27,27,5
90412,97,97,5
90413,79,79,3
90414,84,84,4
90415,57,57,3
90416,79,79,2
90417,24,24,2
90418,33,33,4
