feature,mean_abs_shap,shap_pct,category
egfr_slope,0.9657971,13.352495,Clinical
egfr_baseline,0.81912,11.324631,Clinical
uacr_baseline,0.61459357,8.496979,Clinical
ed_visits_past_year,0.48409742,6.6928225,Utilization
pcp_visit_gap_12mo,0.43224928,5.976003,Utilization
missed_nephro_referral,0.41019773,5.6711326,Utilization
adi_quintile,0.37163565,5.1379976,SDOH
healthcare_shortage_area,0.2821522,3.9008565,SDOH
hba1c,0.28130344,3.8891222,Clinical
adi_nat_rank,0.18773575,2.5955148,SDOH
uacr_trend,0.17171976,2.374088,Clinical
sbp,0.15700792,2.1706915,Clinical
diabetes,0.15080847,2.084982,Clinical
uacr_x_food_desert,0.14963323,2.0687337,Interaction
poverty_rate_pct,0.14116445,1.9516498,SDOH
med_adherence_score,0.1392849,1.9256642,Clinical
median_household_income,0.1290098,1.7836074,SDOH
bmi,0.112163745,1.5507045,Clinical
no_hs_diploma_pct,0.09899702,1.3686697,SDOH
chf,0.09164938,1.267086,Clinical
insurance_uninsured,0.089267924,1.2341615,Utilization
charlson_index,0.08496153,1.174624,Clinical
age,0.084393874,1.166776,Clinical
sbp_trend,0.083060846,1.1483463,Clinical
insurance_medicaid,0.082234025,1.1369152,Utilization
hba1c_trend,0.081354976,1.124762,Clinical
egfr_x_adi,0.07807525,1.0794187,Interaction
unemployment_rate_pct,0.07708721,1.0657586,SDOH
dbp,0.07247697,1.0020204,Clinical
linguistic_isolation_pct,0.071999684,0.99542177,SDOH
acei_arb,0.06678245,0.92329156,Clinical
walkability_index,0.06629428,0.9165425,SDOH
sglt2_inhibitor,0.034991957,0.48377648,Clinical
food_desert,0.023928985,0.3308269,SDOH
sex_encoded,0.023682399,0.32741773,Clinical
glp1_receptor_agonist,0.014059044,0.19437139,Clinical
hypertension,0.008110764,0.11213426,Clinical
